time,phase,p,q
1672531200,A,886585.704888,132191.344998
1672531200,B,670722.079782,-1288.5950249999999
1672531200,C,774563.959563,53648.179241
1672531260,A,881214.044579,128707.85169500002
1672531260,B,667254.424918,-3507.526592
1672531260,C,770159.802149,50928.346382
1672531320,A,876951.1739359999,125945.339739
1672531320,B,664502.763831,-5267.524445
1672531320,C,766664.9988449999,48770.996668
1672531380,A,850858.718269,109074.301862
1672531380,B,647664.4589359999,-16022.629074999999
1672531380,C,745280.628044,35585.95042
1672531440,A,825880.003394,92984.03774600002
1672531440,B,631551.695509,-26290.414122000002
1672531440,C,724819.0692269999,22995.975087
1672531500,A,803831.980441,78830.85680599998
1672531500,B,617334.932004,-35330.648032000005
1672531500,C,706766.588384,11909.169241999998
1672531560,A,784750.8225549998,66619.379221
1672531560,B,605035.4084,-43137.16372099999
1672531560,C,691149.639882,2333.873062
1672531620,A,768095.928367,55988.807163000005
1672531620,B,594302.995178,-49938.021267
1672531620,C,677523.242863,-6009.032399999999
1672531680,A,756420.2146169998,48551.987711
1672531680,B,586780.92257,-54698.465683
1672531680,C,667973.247514,-11849.483704
1672531740,A,746924.331316,42513.093177
1672531740,B,580664.2719350001,-58565.770004
1672531740,C,660207.832538,-16594.54642
1672531800,A,735963.101155,35552.884706
1672531800,B,573604.926697,-63024.982429
1672531800,C,651245.9110860002,-22066.284632000006
1672531860,A,727879.28045,30427.025724
1672531860,B,568399.5311110001,-66310.278673
1672531860,C,644637.767645,-26097.823422000005
1672531920,A,723809.586006,27848.774639
1672531920,B,565779.200068,-67963.150998
1672531920,C,641311.048586,-28126.065296
1672531980,A,725703.49854,29048.436051
1672531980,B,566998.60468,-67194.040626
1672531980,C,642859.454015,-27182.422888
1672532040,A,726260.506456,29401.30995
1672532040,B,567357.241095,-66967.814744
1672532040,C,643314.6288,-26904.748426
1672532100,A,719366.8394880001,25036.029809000003
1672532100,B,562918.883692,-69766.709833
1672532100,C,637680.376199,-30339.630304000002
1672532160,A,717056.299661,23573.901795
1672532160,B,561431.396289,-70704.35362100002
1672532160,C,635791.934449,-31490.277571000002
1672532220,A,714526.869517,21973.855214000003
1672532220,B,559803.0583710001,-71730.55897400001
1672532220,C,633724.8832140001,-32749.725297000005
1672532280,A,713575.972708,21372.507738
1672532280,B,559190.931099,-72116.271015
1672532280,C,632947.94947,-33223.166966
1672532340,A,714848.5264239999,22177.310787999995
1672532340,B,560010.12687,-71600.07342599999
1672532340,C,633987.9953249999,-32589.710682999994
1672532400,A,717253.7867609999,23698.874533
1672532400,B,561558.537171,-70624.216842
1672532400,C,635953.654266,-31392.09215
1672532460,A,719097.427361,24865.519611
1672532460,B,562745.439276,-69876.05111
1672532460,C,637460.301128,-30473.871232
1672532520,A,712220.106303,20515.206930000004
1672532520,B,558318.125744,-72666.183762
1672532520,C,631840.094927,-33898.130777
1672532580,A,713127.316534,21088.811997000004
1672532580,B,558902.118913,-72298.24498
1672532580,C,632581.4532679999,-33446.569277
1672532640,A,711740.387141,20211.906541999997
1672532640,B,558009.321004,-72860.73120000001
1672532640,C,631447.979375,-34136.843421
1672532700,A,708940.892947,18442.452629
1672532700,B,556207.288026,-73995.845211
1672532700,C,629160.3948709999,-35529.96890199999
1672532760,A,709585.76194,18849.998683
1672532760,B,556622.385243,-73734.39728500001
1672532760,C,629687.539557,-35209.194453000004
1672532820,A,708573.998892,18210.616214
1672532820,B,555971.126366,-74144.583737
1672532820,C,628860.729273,-35712.582722
1672532880,A,709645.026871,18887.455558
1672532880,B,556660.5339450001,-73710.368633
1672532880,C,629735.99303,-35179.717099
1672532940,A,710453.560154,19398.473623000005
1672532940,B,557180.983334,-73382.542389
1672532940,C,630396.63248,-34777.35335900001
1672533000,A,712056.437132,20411.729032
1672533000,B,558212.769965,-72732.55881599999
1672533000,C,631706.435846,-33979.634714
1672533060,A,706057.818092,16620.932074999997
1672533060,B,554351.53943,-75164.496525
1672533060,C,626804.533841,-36964.229548
1672533120,A,707166.471094,17346.65989
1672533120,B,555057.949223,-74698.695673
1672533120,C,627700.6273419999,-36393.131800999996
1672533180,A,706070.9228230001,16684.535801000005
1672533180,B,554344.2863349998,-75123.298738
1672533180,C,626793.324182,-36914.659988
1672533240,A,706953.986846,17230.855362
1672533240,B,554915.951176,-74772.862432
1672533240,C,627519.596862,-36484.43660200001
1672533300,A,706948.316404,17183.480816
1672533300,B,554924.720188,-74803.56971199998
1672533300,C,627532.417354,-36521.388941
1672533360,A,704419.265572,15586.0689
1672533360,B,553296.896163,-75828.518737
1672533360,C,625466.014459,-37779.353401
1672533420,A,704551.93412,15669.929169000001
1672533420,B,553382.287446,-75774.757234
1672533420,C,625574.4333129999,-37713.384115
1672533480,A,706285.027731,16764.487191
1672533480,B,554497.790676,-75072.405269
1672533480,C,626990.67261,-36851.448425
1672533540,A,704206.1470100001,15451.487739000002
1672533540,B,553159.725923,-75914.876374
1672533540,C,625291.922338,-37885.362635
1672533600,A,705970.3131879999,16565.69335
1672533600,B,554295.223288,-75199.955608
1672533600,C,626733.5390350001,-37008.00168600001
1672533660,A,702372.690647,14293.840594
1672533660,B,551979.667344,-76657.73280399998
1672533660,C,623793.8982110001,-38797.09942800001
1672533720,A,702807.422891,14568.318392000003
1672533720,B,552259.471836,-76481.60420699998
1672533720,C,624149.321881,-38581.044367
1672533780,A,702492.664731,14369.596328000003
1672533780,B,552056.887251,-76609.125536
1672533780,C,623892.121011,-38737.541443
1672533840,A,700556.0356419999,13147.126318
1672533840,B,550810.460247,-77393.63691
1672533840,C,622309.852148,-39700.414453
1672533900,A,703000.7915000002,14690.412520000002
1672533900,B,552383.92949,-76403.259565
1672533900,C,624307.429083,-38484.947113
1672533960,A,700925.8703950001,13380.550237000001
1672533960,B,551048.484855,-77243.832877
1672533960,C,622611.98272,-39516.536859
1672534020,A,701860.311483,13970.401023
1672534020,B,551649.897742,-76865.30287
1672534020,C,623375.578664,-39052.015674
1672534080,A,701103.726935,13492.816123
1672534080,B,551162.95449,-77171.7879
1672534080,C,622757.3665669999,-39428.14816299999
1672534140,A,703888.579882,15250.974866000002
1672534140,B,552955.333547,-76043.551097
1672534140,C,625032.775502,-38043.451958
1672534200,A,702786.251989,14554.945496000002
1672534200,B,552245.844521,-76490.182504
1672534200,C,624131.928709,-38591.52504600001
1672534260,A,699968.806524,12776.514105
1672534260,B,550432.523305,-77631.48658
1672534260,C,621830.06126,-39992.33104899999
1672534358,A,649608.318815,7772.167857000001
1672534358,B,500147.470856,-82043.106399
1672534358,C,571545.00143,-44305.565048000004
1672534380,A,647852.332341,6671.335955
1672534380,B,499016.018229,-82749.84764600001
1672534380,C,570109.6032219998,-45173.319411
1672534440,A,648852.951185,7298.506718000001
1672534440,B,499660.751189,-82347.142102
1672534440,C,570927.4144430001,-44678.801832
1672534500,A,649585.774372,7757.878607
1672534500,B,500132.939629,-82052.186914
1672534500,C,571526.22483,-44316.53123100001
1672534560,A,649663.284304,7806.506333
1672534560,B,500182.882,-82020.98896
1672534560,C,571589.4408679999,-44278.154117
1672534620,A,648430.160031,7033.493188999999
1672534620,B,499388.330416,-82517.30305
1672534620,C,570581.797117,-44887.723437
1672534680,A,649630.87021,7786.150455000002
1672534680,B,500161.9972599999,-82034.03515900002
1672534680,C,571563.104162,-44294.252165
1672534740,A,645127.904376,4964.201875000001
1672534740,B,497260.633211,-83846.090669
1672534740,C,567883.291642,-46519.662396
1672534800,A,643783.195111,4121.874270999999
1672534800,B,496394.251168,-84387.04864099999
1672534800,C,566784.753418,-47184.183333
1672534860,A,646667.0353960001,5928.561561000002
1672534860,B,498252.3095590001,-83226.817439
1672534860,C,569141.356302,-45759.28298299999
1672534920,A,644417.500703,4519.185187
1672534920,B,496802.925571,-84131.885547
1672534920,C,567302.970719,-46870.754297
1672534980,A,647445.023242,6416.0897749999995
1672534980,B,498753.581758,-82913.755732
1672534980,C,569777.07244,-45374.781418
1672535040,A,648479.484912,7064.417379000001
1672535040,B,499420.11349,-82497.45036200002
1672535040,C,570622.241505,-44863.411239
1672535100,A,644862.914896,4798.199739
1672535100,B,497089.90190699993,-83952.698258
1672535100,C,567666.826626,-46650.62842800002
1672535160,A,649122.1233989999,7467.244432
1672535160,B,499834.19144900003,-82238.803062
1672535160,C,571147.568746,-44545.842704
1672535220,A,651151.405515,8739.472661
1672535220,B,501141.761191,-81421.95515900002
1672535220,C,572805.690815,-43542.532073
1672535280,A,647294.2234090001,6321.561455000001
1672535280,B,498656.4138849999,-82974.443865
1672535280,C,569653.4315250001,-45449.10554500001
1672535340,A,645666.329078,5301.533758
1672535340,B,497607.54254,-83629.465523
1672535340,C,568323.404773,-46253.684938
1672535400,A,647012.341928,6144.936097000002
1672535400,B,498474.795269,-83087.87060199998
1672535400,C,569423.417721,-45588.579003
1672535460,A,644307.5559090001,4450.314064
1672535460,B,496732.08893,-84176.11481600002
1672535460,C,567213.110766,-46925.064595
1672535520,A,646207.56056,5640.653715
1672535520,B,497956.26378299994,-83411.69816300001
1672535520,C,568765.856627,-45986.326391
1672535580,A,646941.8720959999,6100.774357000001
1672535580,B,498429.38993,-83116.22773700001
1672535580,C,569365.7986030001,-45623.388680000004
1672535640,A,644373.804817,4491.812822
1672535640,B,496774.772534,-84149.463926
1672535640,C,567267.2490769998,-46892.335114999994
1672535700,A,640121.971312,1847.458104
1672535700,B,494030.326611,-85847.70611
1672535700,C,563785.941724,-48978.416083000004
1672535760,A,640105.314126,1818.8698799999997
1672535760,B,494024.724966,-85866.21887199998
1672535760,C,563779.855092,-49001.016066000004
1672535820,A,644070.74583,4302.003283000001
1672535820,B,496579.519075,-84271.373735
1672535820,C,567020.016518,-47042.267306
1672535880,A,644420.318346,4520.959364
1672535880,B,496804.74250399997,-84130.750382
1672535880,C,567305.42768,-46869.439001
1672535940,A,643150.283355,3725.47077
1672535940,B,495986.478615,-84641.634416
1672535940,C,566267.631751,-47496.879337
1672536000,A,644196.198721,4380.574194
1672536000,B,496660.34503299993,-84220.909117
1672536000,C,567122.34706,-46980.19639599999
1672536060,A,640969.504589,2359.889929
1672536060,B,494581.477259,-85518.71229000001
1672536060,C,564485.742459,-48574.099016
1672536120,A,643784.6023809998,4122.770264
1672536120,B,496395.16035,-84386.47994200002
1672536120,C,566786.14967,-47183.610473
1672536180,A,643038.922709,3655.7293470000004
1672536180,B,495914.731891,-84686.426582
1672536180,C,566176.675115,-47551.910997
1672536240,A,642455.3300370001,3290.2547130000007
1672536240,B,495538.73914399993,-84921.15594199998
1672536240,C,565699.8616429999,-47840.22249
1672536315,A,552784.988599,-7781.544782
1672536315,B,408173.920492,-93434.37598900001
1672536315,C,477157.581709,-56910.197036
1672536360,A,555810.223455,-5913.784405000001
1672536360,B,410128.460015,-92232.394584
1672536360,C,479631.910274,-55433.01379799999
1672536420,A,558142.570514,-4469.841589
1672536420,B,411634.451585,-91303.23237000001
1672536420,C,481538.072309,-54291.062518
1672536480,A,557543.68991,-4840.66128
1672536480,B,411247.749118,-91541.838883
1672536480,C,481048.433371,-54584.215335
1672536540,A,560331.316974,-3114.341833
1672536540,B,413047.774489,-90431.066617
1672536540,C,483327.01744900004,-53219.212077000004
1672536600,A,565110.176602,-153.236051
1672536600,B,416133.772513,-88526.089963
1672536600,C,487233.289342,-50878.17799599999
1672536660,A,568439.370014,1910.855858
1672536660,B,418283.779014,-87198.414385
1672536660,C,489954.6334030001,-49246.54703200001
1672536720,A,569954.151897,2850.3520160000007
1672536720,B,419262.070666,-86594.16675899999
1672536720,C,491192.826467,-48503.93733
1672536780,A,567572.336013,1373.1806559999998
1672536780,B,417723.83151,-87544.23525199998
1672536780,C,489245.501838,-49671.334141
1672536840,A,565240.882369,-72.238147
1672536840,B,416218.178407,-88473.978231
1672536840,C,487339.68870999996,-50813.905496
1672536900,A,565068.015998,-179.47625800000003
1672536900,B,416106.543911,-88542.903507
1672536900,C,487198.69797000004,-50898.76993900001
1672536960,A,565128.448962,-141.89070000000004
1672536960,B,416145.57126000006,-88518.80738300002
1672536960,C,487247.870154,-50869.043338
1672537020,A,566696.8355209999,830.353875
1672537020,B,417158.427493,-87893.394163
1672537020,C,488530.073755,-50100.546613
1672537080,A,565415.1513519998,35.788096
1672537080,B,416330.7196,-88404.490141
1672537080,C,487482.204981,-50728.544518
1672537140,A,564706.8227,-403.26113200000003
1672537140,B,415873.291349,-88686.918271
1672537140,C,486903.241277,-51075.64479400001
1672537200,A,566960.48137,1018.526949
1672537200,B,417321.79423600005,-87772.20980400001
1672537200,C,488735.80432399997,-49951.876985
1672537262,A,530291.03541,1911.520788
1672537262,B,378987.678673,-87521.59883900001
1672537262,C,451073.924379,-49323.703956000005
1672537320,A,528248.9533839999,632.8575619999999
1672537320,B,377671.8543049999,-88344.679861
1672537320,C,449410.388428,-50334.91762600001
1672537380,A,532196.202272,3110.7904389999994
1672537380,B,380213.619797,-86749.56403299999
1672537380,C,452623.340724,-48375.153217
1672537440,A,533526.445756,3961.444874
1672537440,B,381066.0063719999,-86201.93123199999
1672537440,C,453699.819146,-47702.313003
1672537500,A,529236.15588,1287.0820130000002
1672537500,B,378297.895907,-87923.29193
1672537500,C,450199.921696,-49817.352339
1672537560,A,532671.9644240001,3368.1349380000006
1672537560,B,380531.501538,-86584.181775
1672537560,C,453026.98287,-48171.58242
1672537620,A,534408.106247,4442.278933
1672537620,B,381654.041422,-85892.917029
1672537620,C,454446.409889,-47322.023574
1672537680,A,538145.234101,6755.38878
1672537680,B,384070.474917,-84404.496181
1672537680,C,457502.353515,-45493.010988
1672537740,A,537179.783735,6157.683224000001
1672537740,B,383446.197345,-84789.07521500002
1672537740,C,456712.568675,-45965.434741
1672537800,A,536736.336378,5883.184287
1672537800,B,383159.460412,-84965.703528
1672537800,C,456349.998947,-46182.50739299999
1672537860,A,536789.662504,5916.225391
1672537860,B,383193.941818,-84944.463465
1672537860,C,456393.578225,-46156.39370300001
1672537920,A,538613.9145309998,7045.564596999999
1672537920,B,384373.534697,-84217.78990400002
1672537920,C,457885.4702459999,-45263.50530099999
1672538020,A,475882.078584,6048.506513
1672538020,B,320449.05929,-85352.101571
1672538020,C,394430.372233,-46089.19993
1672538040,A,477985.75937700004,7344.452053
1672538040,B,321811.71394,-84517.704409
1672538040,C,396151.159138,-45063.088512
1672538100,A,476609.281022,6503.272737
1672538100,B,320918.183279,-85059.181661
1672538100,C,395022.077575,-45728.817985
1672538160,A,481664.65883400006,9612.021314
1672538160,B,324194.834197,-83058.05380699999
1672538160,C,399161.211644,-43268.41712900001
1672538220,A,480914.081217,9149.269205
1672538220,B,323708.611809,-83355.906043
1672538220,C,398546.682957,-43634.419739
1672538280,A,478295.274835,7535.165795
1672538280,B,322012.205854,-84394.92622
1672538280,C,396404.027015,-44911.93270500001
1672538340,A,477840.10522400006,7254.693474
1672538340,B,321717.364801,-84575.484508
1672538340,C,396031.811035,-45134.03591200001
1672538400,A,478884.879836,7898.523919000001
1672538400,B,322394.1329319999,-84161.02159999998
1672538400,C,396886.660603,-44624.464068
1672538460,A,481222.156671,9339.202095
1672538460,B,323908.181699,-83233.654644
1672538460,C,398798.968096,-43484.224003
1672538520,A,482936.11136099993,10395.984558
1672538520,B,325018.49083499995,-82553.457485
1672538520,C,400201.22534,-42647.840223
1672538580,A,487751.062069,13366.228437000002
1672538580,B,328137.815505,-80641.928211
1672538580,C,404141.16524099995,-40297.64287099999
1672538640,A,492055.571933,16023.390044999998
1672538640,B,330926.67113599996,-78932.20575799998
