time,mrid,phase,p,q
1672531202,_903a0e85-6a11-4b8e-82cf-163376df7764,A,886585.70515,132191.33929200002
1672531202,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,670722.0795449999,-1288.595238
1672531202,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,774563.929419,53648.19402799999
1672531205,_903a0e85-6a11-4b8e-82cf-163376df7764,A,555528.929113,100093.32666900002
1672531205,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,344862.093752,-25205.37318
1672531205,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,445347.20417300006,28371.528359
1672531208,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560716.18049,100356.683682
1672531208,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349980.812346,-25051.978353
1672531208,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450515.85074299993,28535.540475
1672531211,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.557725,100357.76290700001
1672531211,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.934369,-25051.390619000005
1672531211,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.234312,28536.12654
1672531214,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.624461,100357.74275200002
1672531214,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.9993619999,-25051.388250999997
1672531214,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.3822829999,28536.086218999997
1672531217,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625066,100357.746167
1672531217,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000009,-25051.388212
1672531217,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380332,28536.087545
1672531220,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.6250469999,100357.74621299999
1672531220,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000011,-25051.388207000007
1672531220,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380311,28536.087569
1672531223,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.62502,100357.74622500001
1672531223,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000019,-25051.388234
1672531223,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.38029,28536.087534000006
1672531226,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.6250150001,100357.74622900001
1672531226,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.999959,-25051.388199
1672531226,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380289,28536.087544999995
1672531229,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625039,100357.74622
1672531229,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000025,-25051.388219
1672531229,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380304,28536.087571999997
1672531232,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625005,100357.74622300002
1672531232,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.999993,-25051.388215
1672531232,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380271,28536.087548
1672531235,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625048,100357.746219
1672531235,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000014,-25051.388222
1672531235,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.38031,28536.087562
1672531238,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625007,100357.74622400002
1672531238,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.999966,-25051.388197
1672531238,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.3802639999,28536.087579
1672531241,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625055,100357.746215
1672531241,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.0000260001,-25051.388208
1672531241,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380308,28536.087569000003
1672531244,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.6250110001,100357.74622800002
1672531244,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000004,-25051.388218000004
1672531244,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380316,28536.087540000004
1672531247,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625033,100357.74623200002
1672531247,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.999993,-25051.388207
1672531247,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380291,28536.087546999996
1672531250,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625029,100357.74621500002
1672531250,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.00001099997,-25051.388212000005
1672531250,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380292,28536.087572999997
1672531253,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625009,100357.746218
1672531253,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,350000.000001,-25051.388214
1672531253,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.380275,28536.087559
1672531256,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560735.625024,100357.746229
1672531256,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,349999.99998799997,-25051.388224999995
1672531256,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,450535.38027,28536.08756
